Bus ID,Latitude,Longitude,Stop Name,Stop Status
1,40.687244,-73.941633,GATES AV/THROOP AV,at stop
2,40.685926,-73.9726,GREENE AV/FULTON ST,at stop
3,40.69133,-73.987031,FULTON ST/JAY ST,at stop
4,40.699209,-73.911352,PALMETTO ST/WYCKOFF AV,at stop
5,40.686175,-73.970462,GREENE AV/ADELPHI ST,approaching
6,40.690313,-73.984487,FULTON ST/DUFFIELD ST,approaching
7,40.688878,-73.927451,GATES AV/PATCHEN AV,approaching
8,40.693922,-73.990411,N/A,N/A
9,40.690397,-73.984697,FULTON ST/BOND ST,< 1 stop away
10,40.685946,-73.972445,GREENE AV/ADELPHI ST,< 1 stop away
11,40.695129,-73.916533,GATES AV/CENTRAL AV,< 1 stop away
12,40.686483,-73.94828,GATES AV/NOSTRAND AV,< 1 stop away
